T (K),P (kPa),Vapor fract
96,8093,0.0
0,8212,0.0
6,8212,0.0
12,8212,0.0
18,8212,0.0
24,8212,0.0
30,8212,0.0
36,8212,0.0
42,8212,0.0
48,8212,0.0
54,8212,0.0
60,8212,0.0
66,8212,0.0
72,8212,0.0
78,8212,0.0
84,8212,0.0
90,8212,0.0
96,8212,0.0
0,8331,0.0
6,8331,0.0
12,8331,0.0
18,8331,0.0
24,8331,0.0
30,8331,0.0
36,8331,0.0
42,8331,0.0
48,8331,0.0
54,8331,0.0
60,8331,0.0
66,8331,0.0
72,8331,0.0
78,8331,0.0
84,8331,0.0
90,8331,0.0
96,8331,0.0
0,8450,0.0
6,8450,0.0
12,8450,0.0
18,8450,0.0
24,8450,0.0
30,8450,0.0
36,8450,0.0
42,8450,0.0
48,8450,0.0
54,8450,0.0
60,8450,0.0
66,8450,0.0
72,8450,0.0
78,8450,0.0
84,8450,0.0
90,8450,0.0
96,8450,0.0
0,8569,0.0
6,8569,0.0
12,8569,0.0
18,8569,0.0
24,8569,0.0
30,8569,0.0
36,8569,0.0
42,8569,0.0
48,8569,0.0
54,8569,0.0
60,8569,0.0
66,8569,0.0
72,8569,0.0
78,8569,0.0
84,8569,0.0
90,8569,0.0
96,8569,0.0
0,8688,0.0
6,8688,0.0
12,8688,0.0
18,8688,0.0
24,8688,0.0
30,8688,0.0
36,8688,0.0
42,8688,0.0
48,8688,0.0
54,8688,0.0
60,8688,0.0
66,8688,0.0
72,8688,0.0
78,8688,0.0
84,8688,0.0
90,8688,0.0
96,8688,0.0
0,8807,0.0
6,8807,0.0
12,8807,0.0
18,8807,0.0
24,8807,0.0
30,8807,0.0
36,8807,0.0
42,8807,0.0
48,8807,0.0
54,8807,0.0
60,8807,0.0
66,8807,0.0
72,8807,0.0
78,8807,0.0
84,8807,0.0
90,8807,0.0
96,8807,0.0
0,8926,0.0
6,8926,0.0
12,8926,0.0
18,8926,0.0
24,8926,0.0
30,8926,0.0
36,8926,0.0
42,8926,0.0
48,8926,0.0
54,8926,0.0
60,8926,0.0
66,8926,0.0
72,8926,0.0
78,8926,0.0
84,8926,0.0
90,8926,0.0
96,8926,0.0
0,9045,0.0
6,9045,0.0
12,9045,0.0
18,9045,0.0
24,9045,0.0
30,9045,0.0
36,9045,0.0
42,9045,0.0
48,9045,0.0
54,9045,0.0
60,9045,0.0
66,9045,0.0
72,9045,0.0
78,9045,0.0
84,9045,0.0
90,9045,0.0
96,9045,0.0
0,9164,0.0
6,9164,0.0
12,9164,0.0
18,9164,0.0
24,9164,0.0
30,9164,0.0
36,9164,0.0
42,9164,0.0
48,9164,0.0
54,9164,0.0
60,9164,0.0
66,9164,0.0
72,9164,0.0
78,9164,0.0
84,9164,0.0
90,9164,0.0
96,9164,0.0
0,9283,0.0
6,9283,0.0
12,9283,0.0
18,9283,0.0
24,9283,0.0
30,9283,0.0
36,9283,0.0
42,9283,0.0
48,9283,0.0
54,9283,0.0
60,9283,0.0
66,9283,0.0
72,9283,0.0
78,9283,0.0
84,9283,0.0
90,9283,0.0
96,9283,0.0
0,9402,0.0
6,9402,0.0
12,9402,0.0
18,9402,0.0
24,9402,0.0
30,9402,0.0
36,9402,0.0
42,9402,0.0
48,9402,0.0
54,9402,0.0
60,9402,0.0
66,9402,0.0
72,9402,0.0
78,9402,0.0
84,9402,0.0
90,9402,0.0
96,9402,0.0
0,9521,0.0
6,9521,0.0
12,9521,0.0
18,9521,0.0
24,9521,0.0
30,9521,0.0
36,9521,0.0
42,9521,0.0
48,9521,0.0
54,9521,0.0
60,9521,0.0
66,9521,0.0
72,9521,0.0
78,9521,0.0
84,9521,0.0
90,9521,0.0
96,9521,0.0
0,9640,0.0
6,9640,0.0
12,9640,0.0
18,9640,0.0
24,9640,0.0
30,9640,0.0
36,9640,0.0
42,9640,0.0
48,9640,0.0
54,9640,0.0
60,9640,0.0
66,9640,0.0
72,9640,0.0
78,9640,0.0
84,9640,0.0
90,9640,0.0
96,9640,0.0
0,9759,0.0
6,9759,0.0
12,9759,0.0
18,9759,0.0
24,9759,0.0
30,9759,0.0
36,9759,0.0
42,9759,0.0
48,9759,0.0
54,9759,0.0
60,9759,0.0
66,9759,0.0
72,9759,0.0
78,9759,0.0
84,9759,0.0
90,9759,0.0
96,9759,0.0
0,9878,0.0
6,9878,0.0
12,9878,0.0
18,9878,0.0
24,9878,0.0
30,9878,0.0
36,9878,0.0
42,9878,0.0
48,9878,0.0
54,9878,0.0
60,9878,0.0
66,9878,0.0
72,9878,0.0
78,9878,0.0
84,9878,0.0
90,9878,0.0
96,9878,0.0
0,9997,0.0
6,9997,0.0
12,9997,0.0
18,9997,0.0
24,9997,0.0
30,9997,0.0
36,9997,0.0
42,9997,0.0
48,9997,0.0
54,9997,0.0
60,9997,0.0
66,9997,0.0
72,9997,0.0
78,9997,0.0
84,9997,0.0
90,9997,0.0
96,9997,0.0
0,10116,0.0
6,10116,0.0
12,10116,0.0
18,10116,0.0
24,10116,0.0
30,10116,0.0
36,10116,0.0
42,10116,0.0
48,10116,0.0
54,10116,0.0
