T (K),P (kPa),Vapor fract
288,2381,1.0
294,2381,1.0
300,2381,1.0
306,2381,1.0
312,2381,1.0
318,2381,1.0
324,2381,1.0
330,2381,1.0
336,2381,1.0
342,2381,1.0
348,2381,1.0
354,2381,1.0
360,2381,1.0
366,2381,1.0
372,2381,1.0
378,2381,1.0
384,2381,1.0
390,2381,1.0
396,2381,1.0
402,2381,1.0
408,2381,1.0
414,2381,1.0
420,2381,1.0
426,2381,1.0
432,2381,1.0
438,2381,1.0
444,2381,1.0
450,2381,1.0
456,2381,1.0
462,2381,1.0
468,2381,1.0
474,2381,1.0
480,2381,1.0
486,2381,1.0
492,2381,1.0
498,2381,1.0
504,2381,1.0
510,2381,1.0
516,2381,1.0
522,2381,1.0
528,2381,1.0
534,2381,1.0
540,2381,1.0
546,2381,1.0
552,2381,1.0
558,2381,1.0
564,2381,1.0
570,2381,1.0
576,2381,1.0
582,2381,1.0
588,2381,1.0
594,2381,1.0
288,2500,1.0
294,2500,1.0
300,2500,1.0
306,2500,1.0
312,2500,1.0
318,2500,1.0
324,2500,1.0
330,2500,1.0
336,2500,1.0
342,2500,1.0
348,2500,1.0
354,2500,1.0
360,2500,1.0
366,2500,1.0
372,2500,1.0
378,2500,1.0
384,2500,1.0
390,2500,1.0
396,2500,1.0
402,2500,1.0
408,2500,1.0
414,2500,1.0
420,2500,1.0
426,2500,1.0
432,2500,1.0
438,2500,1.0
444,2500,1.0
450,2500,1.0
456,2500,1.0
462,2500,1.0
468,2500,1.0
474,2500,1.0
480,2500,1.0
486,2500,1.0
492,2500,1.0
498,2500,1.0
504,2500,1.0
510,2500,1.0
516,2500,1.0
522,2500,1.0
528,2500,1.0
534,2500,1.0
540,2500,1.0
546,2500,1.0
552,2500,1.0
558,2500,1.0
564,2500,1.0
570,2500,1.0
576,2500,1.0
582,2500,1.0
588,2500,1.0
594,2500,1.0
294,2619,1.0
300,2619,1.0
306,2619,1.0
312,2619,1.0
318,2619,1.0
324,2619,1.0
330,2619,1.0
336,2619,1.0
342,2619,1.0
348,2619,1.0
354,2619,1.0
360,2619,1.0
366,2619,1.0
372,2619,1.0
378,2619,1.0
384,2619,1.0
390,2619,1.0
396,2619,1.0
402,2619,1.0
408,2619,1.0
414,2619,1.0
420,2619,1.0
426,2619,1.0
432,2619,1.0
438,2619,1.0
444,2619,1.0
450,2619,1.0
456,2619,1.0
462,2619,1.0
468,2619,1.0
474,2619,1.0
480,2619,1.0
486,2619,1.0
492,2619,1.0
498,2619,1.0
504,2619,1.0
510,2619,1.0
516,2619,1.0
522,2619,1.0
528,2619,1.0
534,2619,1.0
540,2619,1.0
546,2619,1.0
552,2619,1.0
558,2619,1.0
564,2619,1.0
570,2619,1.0
576,2619,1.0
582,2619,1.0
588,2619,1.0
594,2619,1.0
294,2738,1.0
300,2738,1.0
306,2738,1.0
312,2738,1.0
318,2738,1.0
324,2738,1.0
330,2738,1.0
336,2738,1.0
342,2738,1.0
348,2738,1.0
354,2738,1.0
360,2738,1.0
366,2738,1.0
372,2738,1.0
378,2738,1.0
384,2738,1.0
390,2738,1.0
396,2738,1.0
402,2738,1.0
408,2738,1.0
414,2738,1.0
420,2738,1.0
426,2738,1.0
432,2738,1.0
438,2738,1.0
444,2738,1.0
450,2738,1.0
456,2738,1.0
462,2738,1.0
468,2738,1.0
474,2738,1.0
480,2738,1.0
486,2738,1.0
492,2738,1.0
498,2738,1.0
504,2738,1.0
510,2738,1.0
516,2738,1.0
522,2738,1.0
528,2738,1.0
534,2738,1.0
540,2738,1.0
546,2738,1.0
552,2738,1.0
558,2738,1.0
564,2738,1.0
570,2738,1.0
576,2738,1.0
582,2738,1.0
588,2738,1.0
594,2738,1.0
294,2857,1.0
300,2857,1.0
306,2857,1.0
312,2857,1.0
318,2857,1.0
324,2857,1.0
330,2857,1.0
336,2857,1.0
342,2857,1.0
348,2857,1.0
354,2857,1.0
360,2857,1.0
366,2857,1.0
372,2857,1.0
378,2857,1.0
384,2857,1.0
390,2857,1.0
396,2857,1.0
402,2857,1.0
408,2857,1.0
414,2857,1.0
420,2857,1.0
426,2857,1.0
432,2857,1.0
438,2857,1.0
444,2857,1.0
450,2857,1.0
456,2857,1.0
462,2857,1.0
468,2857,1.0
474,2857,1.0
480,2857,1.0
486,2857,1.0
492,2857,1.0
498,2857,1.0
504,2857,1.0
510,2857,1.0
516,2857,1.0
522,2857,1.0
528,2857,1.0
534,2857,1.0
540,2857,1.0
546,2857,1.0
552,2857,1.0
558,2857,1.0
564,2857,1.0
570,2857,1.0
576,2857,1.0
582,2857,1.0
588,2857,1.0
594,2857,1.0
294,2976,1.0
300,2976,1.0
306,2976,1.0
312,2976,1.0
318,2976,1.0
324,2976,1.0
330,2976,1.0
336,2976,1.0
342,2976,1.0
348,2976,1.0
354,2976,1.0
360,2976,1.0
366,2976,1.0
372,2976,1.0
378,2976,1.0
384,2976,1.0
390,2976,1.0
396,2976,1.0
402,2976,1.0
408,2976,1.0
414,2976,1.0
420,2976,1.0
426,2976,1.0
432,2976,1.0
438,2976,1.0
444,2976,1.0
450,2976,1.0
456,2976,1.0
462,2976,1.0
468,2976,1.0
474,2976,1.0
480,2976,1.0
486,2976,1.0
492,2976,1.0
498,2976,1.0
504,2976,1.0
510,2976,1.0
516,2976,1.0
522,2976,1.0
528,2976,1.0
534,2976,1.0
540,2976,1.0
546,2976,1.0
552,2976,1.0
558,2976,1.0
564,2976,1.0
570,2976,1.0
576,2976,1.0
582,2976,1.0
588,2976,1.0
594,2976,1.0
294,3095,1.0
300,3095,1.0
306,3095,1.0
312,3095,1.0
318,3095,1.0
324,3095,1.0
330,3095,1.0
336,3095,1.0
342,3095,1.0
348,3095,1.0
354,3095,1.0
360,3095,1.0
366,3095,1.0
372,3095,1.0
378,3095,1.0
384,3095,1.0
390,3095,1.0
396,3095,1.0
402,3095,1.0
408,3095,1.0
414,3095,1.0
420,3095,1.0
426,3095,1.0
432,3095,1.0
438,3095,1.0
444,3095,1.0
450,3095,1.0
456,3095,1.0
462,3095,1.0
468,3095,1.0
474,3095,1.0
480,3095,1.0
486,3095,1.0
492,3095,1.0
498,3095,1.0
504,3095,1.0
510,3095,1.0
516,3095,1.0
522,3095,1.0
528,3095,1.0
534,3095,1.0
540,3095,1.0
546,3095,1.0
552,3095,1.0
558,3095,1.0
564,3095,1.0
570,3095,1.0
576,3095,1.0
582,3095,1.0
588,3095,1.0
594,3095,1.0
294,3214,1.0
300,3214,1.0
306,3214,1.0
312,3214,1.0
318,3214,1.0
324,3214,1.0
330,3214,1.0
336,3214,1.0
342,3214,1.0
348,3214,1.0
354,3214,1.0
360,3214,1.0
366,3214,1.0
372,3214,1.0
378,3214,1.0
384,3214,1.0
390,3214,1.0
396,3214,1.0
402,3214,1.0
408,3214,1.0
414,3214,1.0
420,3214,1.0
426,3214,1.0
432,3214,1.0
438,3214,1.0
444,3214,1.0
450,3214,1.0
456,3214,1.0
462,3214,1.0
468,3214,1.0
474,3214,1.0
480,3214,1.0
486,3214,1.0
492,3214,1.0
498,3214,1.0
504,3214,1.0
510,3214,1.0
516,3214,1.0
522,3214,1.0
528,3214,1.0
534,3214,1.0
540,3214,1.0
546,3214,1.0
552,3214,1.0
558,3214,1.0
564,3214,1.0
570,3214,1.0
576,3214,1.0
582,3214,1.0
588,3214,1.0
594,3214,1.0
294,3333,1.0
300,3333,1.0
306,3333,1.0
312,3333,1.0
318,3333,1.0
324,3333,1.0
330,3333,1.0
336,3333,1.0
342,3333,1.0
348,3333,1.0
354,3333,1.0
360,3333,1.0
366,3333,1.0
372,3333,1.0
378,3333,1.0
384,3333,1.0
390,3333,1.0
396,3333,1.0
402,3333,1.0
408,3333,1.0
414,3333,1.0
420,3333,1.0
426,3333,1.0
432,3333,1.0
438,3333,1.0
444,3333,1.0
450,3333,1.0
456,3333,1.0
462,3333,1.0
468,3333,1.0
474,3333,1.0
480,3333,1.0
486,3333,1.0
492,3333,1.0
498,3333,1.0
504,3333,1.0
510,3333,1.0
516,3333,1.0
522,3333,1.0
528,3333,1.0
534,3333,1.0
540,3333,1.0
546,3333,1.0
552,3333,1.0
558,3333,1.0
564,3333,1.0
570,3333,1.0
576,3333,1.0
582,3333,1.0
588,3333,1.0
594,3333,1.0
294,3452,1.0
300,3452,1.0
306,3452,1.0
312,3452,1.0
318,3452,1.0
324,3452,1.0
330,3452,1.0
336,3452,1.0
342,3452,1.0
348,3452,1.0
354,3452,1.0
360,3452,1.0
366,3452,1.0
372,3452,1.0
378,3452,1.0
384,3452,1.0
390,3452,1.0
396,3452,1.0
402,3452,1.0
408,3452,1.0
414,3452,1.0
420,3452,1.0
426,3452,1.0
432,3452,1.0
438,3452,1.0
444,3452,1.0
450,3452,1.0
456,3452,1.0
462,3452,1.0
468,3452,1.0
474,3452,1.0
480,3452,1.0
486,3452,1.0
