name,alt_name,t_c,p_c,v_c,acc,mm,hf,c1,c2,c3,c4,c5,eq,cg1,cg2,cg3,cg4,cg5,eqg
"1,2-Dichloroethane",,561.6,53.7,0.22,0.2866,,,,,,,,,,,,,,
Dichloromethane,CH2Cl2,510,60.8,0.185,0.1986,,,,,,,,,,,,,,
"1,1-Dichloropropane",,560,42.4,0.291,0.2529,,,,,,,,,,,,,,
"1,2-Dichloropropane",,572,42.4,0.291,0.2564,,,,,,,,,,,,,,
Diethanol amine,,736.6,42.7,0.349,0.9529,,,,,,,,,,,,,,
Diethyl amine,,496.6,37.1,0.301,0.3039,,,,,,,,,,,,,,
Diethyl ether,,466.7,36.4,0.28,0.2811,0.074,-252100,44400,1301,-5.5,0.009763,0,1,86210,255100,1541.3,143700,688.9,1
Diethyl sulfide,,557.15,39.6,0.318,0.29,,,,,,,,,,,,,,
"1,1-Difluoroethane",,386.44,45.2,0.179,0.2751,,,,,,,,,,,,,,
"1,2-Difluoroethane",,445,43.4,0.195,0.2224,,,,,,,,,,,,,,
Difluoromethane,CH2F2,351.255,57.84,0.123,0.2771,,,,,,,,,,,,,,
Di-isopropyl amine,,523.1,32,0.418,0.3883,,,,,,,,,,,,,,
Di-isopropyl ether,,500.05,28.8,0.386,0.3387,,,,,,,,,,,,,,
Di-isopropyl ketone,,576,30.2,0.416,0.4044,,,,,,,,,,,,,,
"1,1-Dimethoxyethane",,507.8,37.73,0.297,0.3277,,,,,,,,,,,,,,
"1,2-Dimethoxypropane",,543,34.46,0.35,0.3522,,,,,,,,,,,,,,
Dimethyl acetylene,,473.2,48.7,0.221,0.2385,,,,,,,,,,,,,,
Dimethyl amine,,437.2,53.4,0.18,0.2999,,,,,,,,,,,,,,
"2,3-Dimethylbutane",,500,31.5,0.361,0.2493,,,,,,,,,,,,,,
"1,1-Dimethylcyclohexane",,591.15,29.38,0.45,0.2326,,,,,,,,,,,,,,
"cis-1,2-Dimethylcyclohexane",,606.15,29.38,0.46,0.2324,,,,,,,,,,,,,,
"trans-1,2-Dimethylcyclohexane",,596.15,29.38,0.46,0.2379,,,,,,,,,,,,,,
Dimethyl disulfide,,615,53.6,0.252,0.2059,,,,,,,,,,,,,,
Dimethyl ether,CH3OCH3,400.1,53.7,0.17,0.2002,0.046,-184100,110100,-157.47,0.51853,0,0,1,51480,144200,1603.4,77470,725.4,1
"N,N-Dimethyl formamide",,649.6,44.2,0.26199,0.3177,,,,,,,,,,,,,,
"2,3-Dimethylpentane",,537.3,29.1,0.393,0.2964,,,,,,,,,,,,,,
Dimethyl phthalate,,766,27.8,0.53,0.6568,,,,,,,,,,,,,,
Dimethylsilane,,402,35.6,0.258,0.13,,,,,,,,,,,,,,
Dimethyl sulfide,,503.04,55.3,0.201,0.1943,,,,,,,,,,,,,,
Dimethyl sulfoxide,,729,56.5,0.227,0.2806,,,,,,,,,,,,,,
Dimethyl terephthalate,,772,27.8,0.529,0.6371,,,,,,,,,,,,,,
"1,4-Dioxane",,587,52.08,0.238,0.2793,,,,,,,,,,,,,,
Diphenyl ether,,766.8,30.8,0.503,0.4389,,,,,,,,,,,,,,
Dipropyl amine,,550,31.4,0.402,0.4497,,,,,,,,,,,,,,
Dodecane,C12H26,658,18.2,0.755,0.5764,0.17,-290720,508210,-1368.7,3.1015,0,0,1,212950,663300,1715.5,451610,777.5,1
Eicosane,,768,11.6,1.34,0.9069,,,,,,,,,,,,,,
Ethane,C2H6,305.32,48.72,0.1455,0.0995,0.03,-83820,44.009,89718,918.77,-1886,0,2,40326,134220,1655.5,73223,752.87,1
Ethanol,C2H5OH,514,61.37,0.168,0.6436,0.046,-234950,102640,-139.63,-0.030341,0.0020386,0,1,49200,145770,1662.8,93900,744.7,1
Ethyl acetate,,523.3,38.8,0.286,0.3664,,,,,,,,,,,,,,
Ethyl amine,,456.15,56.2,0.207,0.2848,,,,,,,,,,,,,,
Ethylbenzene,"C8H10,ethylbenzene",617.15,36.09,0.374,0.3035,0.106165,29920,154040,-142.29,0.80539,0,0,1,78440,339900,1559,242600,702,1
Ethyl benzoate,,698,31.8,0.489,0.4771,,,,,,,,,,,,,,
